,company,bus_stop,hotel,landmark
"POLYGON ((86.152159 55.358818, 86.152567 55.363877, 86.14509 55.366722, 86.137204 55.364507, 86.136797 55.359447, 86.144274 55.356603, 86.152159 55.358818))",0.0,0.0,0.0,1.0
"POLYGON ((86.101988 55.502963, 86.109898 55.505177, 86.110303 55.510233, 86.102797 55.513076, 86.094886 55.510861, 86.094482 55.505805, 86.101988 55.502963))",0.0,2.0,0.0,0.0
"POLYGON ((86.082422 55.354045, 86.089903 55.351204, 86.097785 55.353422, 86.098187 55.358483, 86.090706 55.361325, 86.082822 55.359106, 86.082422 55.354045))",0.0,4.0,2.0,4.0
"POLYGON ((86.065064 55.32936, 86.064666 55.324298, 86.072143 55.321457, 86.08002 55.323678, 86.08042 55.32874, 86.072942 55.331581, 86.065064 55.32936))",0.0,5.0,0.0,0.0
"POLYGON ((86.009544 55.308733, 86.009152 55.30367, 86.016631 55.300833, 86.024503 55.303058, 86.024896 55.308121, 86.017417 55.310959, 86.009544 55.308733))",0.0,3.0,0.0,0.0
"POLYGON ((86.015434 55.384661, 86.02332 55.386884, 86.023715 55.391944, 86.016221 55.394782, 86.008333 55.392559, 86.00794 55.387498, 86.015434 55.384661))",0.0,6.0,1.0,0.0
"POLYGON ((86.125491 55.410669, 86.125085 55.40561, 86.132571 55.402767, 86.140463 55.404981, 86.140871 55.41004, 86.133384 55.412884, 86.125491 55.410669))",0.0,2.0,0.0,0.0
"POLYGON ((85.950434 55.341544, 85.950048 55.336481, 85.957538 55.333647, 85.965414 55.335875, 85.965802 55.340938, 85.958311 55.343772, 85.950434 55.341544))",0.0,2.0,0.0,0.0
"POLYGON ((86.053281 55.375528, 86.052884 55.370468, 86.06037 55.367628, 86.068254 55.369848, 86.068654 55.374909, 86.061167 55.377749, 86.053281 55.375528))",0.0,0.0,0.0,1.0
"POLYGON ((86.17376 55.34016, 86.173349 55.3351, 86.180818 55.332254, 86.188699 55.334467, 86.189112 55.339526, 86.181642 55.342374, 86.17376 55.34016))",0.0,8.0,0.0,1.0
"POLYGON ((86.12022 55.344894, 86.120625 55.349954, 86.113147 55.352798, 86.105264 55.35058, 86.104861 55.345519, 86.112339 55.342677, 86.12022 55.344894))",0.0,9.0,0.0,0.0
"POLYGON ((86.061565 55.382809, 86.061167 55.377749, 86.068654 55.374909, 86.07654 55.377128, 86.07694 55.382188, 86.069452 55.385029, 86.061565 55.382809))",0.0,6.0,0.0,0.0
"POLYGON ((86.087638 55.419823, 86.087236 55.414764, 86.094727 55.411923, 86.10262 55.414139, 86.103024 55.419198, 86.095532 55.42204, 86.087638 55.419823))",0.0,2.0,0.0,0.0
"POLYGON ((86.100433 55.289843, 86.100031 55.284781, 86.107498 55.281938, 86.115368 55.284157, 86.115772 55.28922, 86.108304 55.292063, 86.100433 55.289843))",0.0,2.0,0.0,0.0
"POLYGON ((86.036325 55.355902, 86.028443 55.353679, 86.028049 55.348618, 86.035534 55.345779, 86.043414 55.348002, 86.04381 55.353063, 86.036325 55.355902))",0.0,2.0,0.0,0.0
"POLYGON ((86.126479 55.326868, 86.134358 55.329085, 86.134764 55.334146, 86.12729 55.33699, 86.11941 55.334773, 86.119006 55.329712, 86.126479 55.326868))",1.0,6.0,0.0,0.0
"POLYGON ((86.108897 55.39612, 86.108493 55.39106, 86.115978 55.388217, 86.123867 55.390433, 86.124273 55.395492, 86.116788 55.398336, 86.108897 55.39612))",0.0,7.0,1.0,1.0
"POLYGON ((86.16875 55.373364, 86.169161 55.378423, 86.161682 55.381269, 86.153794 55.379056, 86.153385 55.373996, 86.160863 55.371151, 86.16875 55.373364))",0.0,0.0,0.0,1.0
"POLYGON ((86.069351 55.286022, 86.06975 55.291084, 86.062277 55.293925, 86.054406 55.291702, 86.054009 55.286639, 86.061482 55.283799, 86.069351 55.286022))",0.0,2.0,0.0,0.0
"POLYGON ((86.099395 55.373664, 86.091911 55.376506, 86.084025 55.374287, 86.083624 55.369227, 86.091108 55.366385, 86.098993 55.368604, 86.099395 55.373664))",0.0,4.0,0.0,2.0
"POLYGON ((86.069452 55.385029, 86.07694 55.382188, 86.084827 55.384407, 86.085229 55.389467, 86.077741 55.392308, 86.069852 55.390089, 86.069452 55.385029))",1.0,2.0,0.0,0.0
"POLYGON ((86.001229 55.400456, 85.993732 55.403293, 85.985843 55.401068, 85.985453 55.396007, 85.99295 55.393171, 86.000837 55.395396, 86.001229 55.400456))",0.0,1.0,0.0,0.0
"POLYGON ((86.182878 55.357552, 86.174993 55.35534, 86.174582 55.35028, 86.182054 55.347433, 86.189937 55.349646, 86.19035 55.354705, 86.182878 55.357552))",0.0,5.0,0.0,0.0
"POLYGON ((86.150933 55.343638, 86.151342 55.348698, 86.143867 55.351543, 86.135984 55.349327, 86.135577 55.344267, 86.143052 55.341422, 86.150933 55.343638))",0.0,11.0,0.0,1.0
"POLYGON ((86.23396 55.416338, 86.226064 55.41413, 86.225646 55.409072, 86.233123 55.406223, 86.241019 55.40843, 86.241438 55.413488, 86.23396 55.416338))",0.0,1.0,0.0,0.0
"POLYGON ((86.085229 55.389467, 86.084827 55.384407, 86.092313 55.381566, 86.100201 55.383783, 86.100604 55.388843, 86.093117 55.391685, 86.085229 55.389467))",0.0,6.0,0.0,0.0
"POLYGON ((86.145771 55.470732, 86.153676 55.472944, 86.154086 55.478001, 86.146589 55.480845, 86.138683 55.478633, 86.138275 55.473577, 86.145771 55.470732))",0.0,2.0,0.0,0.0
"POLYGON ((86.148226 55.501071, 86.147817 55.496015, 86.155316 55.49317, 86.163225 55.49538, 86.163636 55.500436, 86.156136 55.503282, 86.148226 55.501071))",0.0,3.0,0.0,0.0
"POLYGON ((86.008333 55.392559, 86.000837 55.395396, 85.99295 55.393171, 85.992559 55.38811, 86.000054 55.385274, 86.00794 55.387498, 86.008333 55.392559))",0.0,4.0,0.0,0.0
"POLYGON ((86.057584 55.3322, 86.065064 55.32936, 86.072942 55.331581, 86.073341 55.336642, 86.065861 55.339483, 86.057982 55.337261, 86.057584 55.3322))",0.0,9.0,0.0,0.0
"POLYGON ((85.989436 55.347618, 85.989046 55.342556, 85.996533 55.33972, 86.004411 55.341945, 86.004803 55.347007, 85.997315 55.349844, 85.989436 55.347618))",0.0,2.0,0.0,0.0
"POLYGON ((86.063559 55.408109, 86.071051 55.405268, 86.078942 55.407487, 86.079343 55.412546, 86.071851 55.415387, 86.063958 55.413168, 86.063559 55.408109))",0.0,2.0,0.0,0.0
"POLYGON ((86.00089 55.296381, 86.001281 55.301444, 85.9938 55.304281, 85.985929 55.302054, 85.98554 55.296991, 85.99302 55.294154, 86.00089 55.296381))",0.0,2.0,0.0,0.0
"POLYGON ((85.98554 55.296991, 85.985929 55.302054, 85.978447 55.30489, 85.970576 55.302662, 85.970189 55.297598, 85.97767 55.294763, 85.98554 55.296991))",0.0,2.0,0.0,0.0
"POLYGON ((86.048572 55.413788, 86.041076 55.416627, 86.033184 55.414406, 86.032789 55.409347, 86.040284 55.406508, 86.048174 55.408729, 86.048572 55.413788))",1.0,7.0,0.0,0.0
"POLYGON ((86.072143 55.321457, 86.071744 55.316396, 86.07922 55.313555, 86.087095 55.315775, 86.087496 55.320837, 86.08002 55.323678, 86.072143 55.321457))",0.0,1.0,0.0,0.0
"POLYGON ((86.129725 55.367351, 86.130132 55.372411, 86.122651 55.375255, 86.114764 55.373038, 86.11436 55.367978, 86.12184 55.365135, 86.129725 55.367351))",0.0,2.0,0.0,0.0
"POLYGON ((86.07922 55.313555, 86.07882 55.308493, 86.086293 55.305651, 86.094167 55.307871, 86.094569 55.312933, 86.087095 55.315775, 86.07922 55.313555))",0.0,3.0,0.0,0.0
"POLYGON ((86.188699 55.334467, 86.196167 55.331619, 86.204048 55.333831, 86.204462 55.338891, 86.196994 55.341739, 86.189112 55.339526, 86.188699 55.334467))",0.0,3.0,0.0,0.0
"POLYGON ((85.999718 55.281191, 85.991851 55.278963, 85.991461 55.273899, 85.998937 55.271063, 86.006802 55.27329, 86.007194 55.278354, 85.999718 55.281191))",0.0,1.0,0.0,0.0
"POLYGON ((86.049707 55.329978, 86.042226 55.332817, 86.034349 55.330594, 86.033954 55.325532, 86.041434 55.322693, 86.04931 55.324916, 86.049707 55.329978))",0.0,2.0,0.0,0.0
"POLYGON ((86.089501 55.346143, 86.089903 55.351204, 86.082422 55.354045, 86.07454 55.351825, 86.07414 55.346764, 86.081621 55.343923, 86.089501 55.346143))",0.0,9.0,2.0,3.0
"POLYGON ((86.033976 55.424526, 86.041473 55.421687, 86.049367 55.423907, 86.049764 55.428966, 86.042266 55.431806, 86.034371 55.429585, 86.033976 55.424526))",0.0,4.0,0.0,0.0
"POLYGON ((86.126479 55.326868, 86.126074 55.321807, 86.133546 55.318963, 86.141423 55.32118, 86.14183 55.32624, 86.134358 55.329085, 86.126479 55.326868))",2.0,3.0,0.0,0.0
"POLYGON ((86.142911 55.435331, 86.143319 55.440388, 86.135828 55.443233, 86.127929 55.441019, 86.127522 55.435961, 86.135013 55.433117, 86.142911 55.435331))",0.0,2.0,0.0,0.0
"POLYGON ((86.125264 55.311685, 86.124859 55.306623, 86.132328 55.303779, 86.140202 55.305996, 86.140609 55.311058, 86.133139 55.313902, 86.125264 55.311685))",0.0,1.0,0.0,0.0
"POLYGON ((86.183648 55.46156, 86.176156 55.464407, 86.168253 55.462196, 86.167841 55.457139, 86.175332 55.454293, 86.183235 55.456503, 86.183648 55.46156))",0.0,1.0,0.0,0.0
"POLYGON ((86.107095 55.276876, 86.114561 55.274033, 86.12243 55.276252, 86.122835 55.281314, 86.115368 55.284157, 86.107498 55.281938, 86.107095 55.276876))",0.0,1.0,1.0,1.0
"POLYGON ((86.011897 55.339108, 86.011505 55.334046, 86.018989 55.331208, 86.026866 55.333432, 86.02726 55.338494, 86.019776 55.341332, 86.011897 55.339108))",0.0,4.0,0.0,0.0
"POLYGON ((86.133791 55.417942, 86.141686 55.420157, 86.142094 55.425215, 86.134606 55.428059, 86.126709 55.425845, 86.126303 55.420786, 86.133791 55.417942))",0.0,2.0,0.0,0.0
"POLYGON ((86.062761 55.397989, 86.062363 55.39293, 86.069852 55.390089, 86.077741 55.392308, 86.078141 55.397368, 86.070651 55.400209, 86.062761 55.397989))",1.0,4.0,0.0,0.0
"POLYGON ((86.099395 55.373664, 86.098993 55.368604, 86.106474 55.365761, 86.11436 55.367978, 86.114764 55.373038, 86.107282 55.375881, 86.099395 55.373664))",0.0,2.0,0.0,0.0
"POLYGON ((86.079343 55.412546, 86.087236 55.414764, 86.087638 55.419823, 86.080145 55.422665, 86.072251 55.420446, 86.071851 55.415387, 86.079343 55.412546))",0.0,2.0,0.0,0.0
"POLYGON ((86.170723 55.492534, 86.178632 55.494744, 86.179045 55.4998, 86.171547 55.502646, 86.163636 55.500436, 86.163225 55.49538, 86.170723 55.492534))",0.0,4.0,0.0,0.0
"POLYGON ((86.128507 55.352171, 86.128913 55.357231, 86.121435 55.360075, 86.113551 55.357858, 86.113147 55.352798, 86.120625 55.349954, 86.128507 55.352171))",0.0,5.0,1.0,1.0
"POLYGON ((85.976118 55.274507, 85.983595 55.271671, 85.991461 55.273899, 85.991851 55.278963, 85.984373 55.2818, 85.976506 55.279571, 85.976118 55.274507))",0.0,3.0,0.0,0.0
"POLYGON ((85.986708 55.31218, 85.978835 55.309953, 85.978447 55.30489, 85.985929 55.302054, 85.9938 55.304281, 85.99419 55.309344, 85.986708 55.31218))",0.0,2.0,0.0,0.0
"POLYGON ((86.108897 55.39612, 86.116788 55.398336, 86.117193 55.403395, 86.109705 55.406238, 86.101813 55.404021, 86.10141 55.398962, 86.108897 55.39612))",0.0,4.0,0.0,0.0
"POLYGON ((86.149709 55.328456, 86.150117 55.333517, 86.142644 55.336362, 86.134764 55.334146, 86.134358 55.329085, 86.14183 55.32624, 86.149709 55.328456))",0.0,1.0,1.0,0.0
"POLYGON ((86.189069 55.433428, 86.196554 55.430581, 86.204453 55.43279, 86.204868 55.437847, 86.197383 55.440695, 86.189483 55.438485, 86.189069 55.433428))",0.0,2.0,0.0,0.0
"POLYGON ((86.013075 55.354294, 86.020956 55.356517, 86.02135 55.361579, 86.013861 55.364416, 86.005979 55.362192, 86.005587 55.357131, 86.013075 55.354294))",0.0,1.0,0.0,0.0
"POLYGON ((85.980779 55.335267, 85.988266 55.332431, 85.996143 55.334658, 85.996533 55.33972, 85.989046 55.342556, 85.981168 55.34033, 85.980779 55.335267))",0.0,1.0,0.0,0.0
"POLYGON ((85.980779 55.335267, 85.981168 55.34033, 85.973679 55.343165, 85.965802 55.340938, 85.965414 55.335875, 85.972903 55.33304, 85.980779 55.335267))",0.0,2.0,0.0,0.0
"POLYGON ((86.150117 55.333517, 86.149709 55.328456, 86.157179 55.325611, 86.165058 55.327826, 86.165468 55.332886, 86.157997 55.335732, 86.150117 55.333517))",0.0,2.0,0.0,0.0
